Bier-ID;Bier;Beschreibung;Kategorie;Besonderheiten;Alkoholgehalt;Portionsgröße;Preis;Hinweise
B0001;1664 Kronenbourg;;Fassbier;;6,5;0,33l;4,30;
B0002;Aktien Zwickl;;Flaschenbier;;5,4;0,5l;4,90;
B0003;Allgäuer Büble Dunkel;;Fassbier;;5,3;0,3l/0,5l/1,0l;3,30/4,90/8,50;auch als Maß
B0004;Allgäuer Büble Edelbräu;;Flaschenbier;;5,5;0,5l;4,90;
B0005;Alpine;;Flaschenbier;;5,0;0,341l;4,80;
B0006;Arschlecken 350;;Flaschenbier;;4,9;0,33l;3,50;
B0007;Asahi;;Flaschenbier;;5,2;0,33l;4,50;
B0008;Astra Kiezmische;;Flaschenbier;;2,5;0,33l;3,30;
B0009;Astra Kleine Freiheit;;Flaschenbier;;5,1;0,33l;3,30;
B0010;Astra Rakete;;Flaschenbier;;5,9;0,33l;3,70;
B0011;Astra Rotlicht;;Flaschenbier;;6,0;0,33l;3,70;
B0012;Astra Urtyp;;Flaschenbier;;4,9;0,33l;3,30;
B0013;Augustiner Edelstoff;;Flaschenbier;;5,6;0,5l;4,90;
B0014;Aventinus Eisbock;;Flaschenbier;;12,0;0,33l;5,50;
B0015;Barbar Bok;;Flaschenbier;;8,0;0,33l;4,80;
B0016;Barbar Original;;Flaschenbier;;8,0;0,33l;4,80;
B0017;Barbar Rouge;;Flaschenbier;;8,0;0,33l;4,80;
B0018;Bayreuther Hell;;Fassbier;;4,9;0,3l/0,5l/1,0l;3,30/4,90/8,50;auch als Maß
B0019;Beck's;;Flaschenbier;;4,9;0,33l;3,30;
B0020;Becks Blue;;Flaschenbier;alkoholfrei;<0,5;0,33l;3,30;
B0021;Beck's Ice;;Flaschenbier;;2,5;0,33l;3,30;
B0022;Belhaven Scottish Stout;;Flaschenbier;;7,0;0,5l;5,90;
B0023;Bergmann Alkoholfrei;;Flaschenbier;alkoholfrei;<0,5;0,33l;3,70;
B0024;Bergmann Export;;Flaschenbier;;5,2;0,33l;3,70;
B0025;Berliner Weisse Himbeer;;Flaschenbier;;3,0;0,33l;3,70;
B0026;Berliner Weisse Waldmeister;;Flaschenbier;;3,0;0,33l;3,70;
B0027;Birra Moretti;;Flaschenbier;;4,6;0,33l;3,70;
B0028;Bitburger 0,0;;Fassbier;alkoholfrei;0,0;0,25l/0,4l;2,70/3,80;
B0029;Bitburger 0,0 Radler;;Flaschenbier;alkoholfrei;0,0;0,33l;3,30;
B0030;Bitburger 0,0 Radler Grapefruit;;Flaschenbier;alkoholfrei;0,0;0,33l;3,30;
B0031;Black Sheep;;Flaschenbier;;5,8;0,33l;4,80;
